id,username,date,tweet
1678622383152812034,DRRAJENDRAKUDAS,2023-07-11 04:28:58+00:00,@achyuta_samanta @kissfoundation 35000 students are taking their food four times daily because you know ultimately quality will sustain. KIIT &amp; KISS stand for their quality &amp; hygienic point of view. That's why KIIT &amp; KISS are unique and different from others globally. We salute to ur vision sir &amp; proud of you.🙏
1678622040427839495,ABDULRASHEED472,2023-07-11 04:27:36+00:00,"RT @B5001001101: Pungent smell from food served on #VandeBharat.

Flagging off is easy, but maintaining quality as promised is not easy. @A…"
1678621533818990592,AtreTanaya,2023-07-11 04:25:35+00:00,"@SejalSud Go Air !
Had the worst experience - shortage of staff, no accountability for lost luggages or luggage stuck on the belt, food quality was below average"
1678620837442732035,faiqabadr,2023-07-11 04:22:49+00:00,"I don’t object food, ever, quantity or quality. It’s Allah’s bounty and I consume it with gratitude whatever and however it is. 
But if I come to your house as a guest and you give me shai bay laban with one of them tiny red tea cups I will أشيل حالك"
1678620590884651008,mydogslife3,2023-07-11 04:21:50+00:00,"@andylangleynz @AMoonoow More profits for local producers, lower quality food and higher prices for the rest of us. Oh and an increase to the carbon footprint on climate change as a bonus. Yay."
1678619790280380416,Msr222Raza,2023-07-11 04:18:39+00:00,"RT @PFAHQOfficial: Punjab Food Authority intensifies inspections to raise the bar for food hygiene, cleanliness and quality in the Faisalab…"
1678619449031815170,Mianumar196,2023-07-11 04:17:18+00:00,"RT @PFAHQOfficial: Punjab Food Authority intensifies inspections to raise the bar for food hygiene, cleanliness and quality in the Faisalab…"
1678618287452876800,rahul_nb,2023-07-11 04:12:41+00:00,RT @mrjethwani_: Pic 1 - Food provided in Vande Bharat (22230) train on the day of the inauguration on 27 Jun 2023. Photos shared in media.…
1678616692539236353,LifeByThunder,2023-07-11 04:06:21+00:00,"@prettyforadarky decisions worse and good outcomes VERY hard to achieve while bad ones extremely easy. food deserts also make this worse. Many people flat out dont have a good choice to make when it comes to good quality food, and it compounds. poverty makes u make worse decisions and adds stress"
1678616191433056257,LifeByThunder,2023-07-11 04:04:21+00:00,"@prettyforadarky so horrendous quality food is cheap while nutritious fresh food is VERY expensive relatively. theres a reason why richer people on avg are far less obese than poor people. Blacks and latinos being the poorest and the fattest isnt by accident. 
poverty + structural issues make 1/"
1678615422071873537,LifeByThunder,2023-07-11 04:01:18+00:00,"@prettyforadarky we studied this in grad school! to give reference theres a very strong reason why america (and mexico) are so obese. it's access to quality food,   a reliance on cars, income inequality, structural inequities, and corn subsidies. 

In most countries, buying fresh food is 1/"
