id,username,date,tweet
1678623509033910272,Casetta1,2023-07-11 04:33:26+00:00,rt @delag: anna muzychuk championne reine des échecs elle a refusé de jouer en arabie saoudite « je refuse de jouer avec des règles spécia…
1678623507306123264,Vcjeem1,2023-07-11 04:33:26+00:00,"rt @bbrightvchkg: burberry elements opening event
🗓️  july 
⏰ : hkg🇭🇰🇭🇰
📍 elements shop a-a
        /f,  zone metal (nea…"
1678623506295324672,thiruMVM,2023-07-11 04:33:25+00:00,"rt @lost_human: a hotel washed away in manali 
#himachalfloods 

 https://t.co/zoxrx"
1678623501861650433,antzy1982,2023-07-11 04:33:24+00:00,"rt @dimm_: η άλλη ανέβασε ""hotel california, απλά γαμάτο!!!"" και απάντησε ο άλλος ""πόσο πάει η βραδιά κούκλα μου?"" 
ρισπεκτ φίλε."
1678623494479949824,ivanestarecrazy,2023-07-11 04:33:23+00:00,"rt @spideycyp_: #adoption

novatel bahrain al dana became the first hotel in the region to accept crypto payments via #binancepay and ea…"
1678623490172235776,justapersonnam1,2023-07-11 04:33:22+00:00,"@cardiganskeepr @tstheerastoursg hi~~ i’m selling one nd march vip ticket with hotel room. any chance you’d be interested??❤️
and please don’t worry about scam, i’m also going to the concert myself, so no worries🫶🏻"
1678623489006383104,jameseobrien,2023-07-11 04:33:21+00:00,"rt @yarotrof: sweden’s prime minister ulf kristersson is a happy man tonight,  greeted by an ovation as he walked into the lobby of his hot…"
1678623481246760961,rospay15,2023-07-11 04:33:19+00:00,"rt @dave: stradey park hotel

we were never asked! https://t.co/ojfgdcuql"
1678623474871328768,PFenside,2023-07-11 04:33:18+00:00,"@judianna i'd have the hotel manager remove my name from the register. i'd then load the car, and rent a storage unit in a friend's name. rule one, never take ill-gotten gains home. sit on it for at least  months."
1678623474313736192,florinavictori1,2023-07-11 04:33:18+00:00,@fjbescalona action federal natural hotel finish.
1678623470740029440,ARAbhaiya,2023-07-11 04:33:17+00:00,"rt @meghupdates: spitting on rotis- another viral video claimed to be from hotel delhi darbar, chandigarh.
https://t.co/tyiuhffs"
1678623469469089793,SonuKum85098505,2023-07-11 04:33:17+00:00,"rt @meghupdates: spitting on rotis- another viral video claimed to be from hotel delhi darbar, chandigarh.
https://t.co/tyiuhffs"
1678623468886032384,n2n_tennoji_,2023-07-11 04:33:16+00:00,rt @lovelive_staff: 【overseas】tour to see “lovelive! superstar!! liella! th lovelive! tour ～brand new sparkle～” chiba performance official…
1678623468479193088,Tangento,2023-07-11 04:33:16+00:00,"lol what a shithole 

check out ⚡️❄️ atlantic city new jersey casino post card #traitortrump castle hotel omg wtf 😳 https://t.co/owfvhgh"
1678623464842731521,anuragjoshiV,2023-07-11 04:33:15+00:00,@cybtraffic  long q from ella hotel towards dlf 🚦 https://t.co/umfdusrmu
1678623464801042438,BrightInterfan,2023-07-11 04:33:15+00:00,"rt @bbrightvchkg: burberry elements opening event
🗓️  july 
⏰ : hkg🇭🇰🇭🇰
📍 elements shop a-a
        /f,  zone metal (nea…"
1678623462703910918,ratthanoon,2023-07-11 04:33:15+00:00,"rt @bbrightvchkg: burberry elements opening event
🗓️  july 
⏰ : hkg🇭🇰🇭🇰
📍 elements shop a-a
        /f,  zone metal (nea…"
1678623459100749829,NicoSLeNageur,2023-07-11 04:33:14+00:00,rt @delag: anna muzychuk championne reine des échecs elle a refusé de jouer en arabie saoudite « je refuse de jouer avec des règles spécia…
1678623455883788288,Pedro_V_H,2023-07-11 04:33:13+00:00,"rt @yosoyalexlopez: amigos, por favor ayúdenme a encontrar a esta perrita, responde al nombre de tinga. se extravió por el rumbo de costa d…"
1678623443518906373,Kayodeoshinubi,2023-07-11 04:33:10+00:00,"rt @mobilepunch: nairobi: catholic priest dies hours after checking into a hotel with lover

a -year-old catholic priest was pronounced d…"
1678623443179429888,_NeoNationalist,2023-07-11 04:33:10+00:00,"rt @meghupdates: spitting on rotis- another viral video claimed to be from hotel delhi darbar, chandigarh.
https://t.co/tyiuhffs"
1678623436774449152,WaverlyHudson,2023-07-11 04:33:09+00:00,"rt @yarotrof: sweden’s prime minister ulf kristersson is a happy man tonight,  greeted by an ovation as he walked into the lobby of his hot…"
1678623434358632448,BUENDIACHUBUT,2023-07-11 04:33:08+00:00,rt @metadataweb: 🗣️ luque sobre la inauguración del hotel deportivo en comodoro: “este será el único de estas características que hay en to…
1678623431020134401,rairairaitch,2023-07-11 04:33:07+00:00,rt @good_seup: the moment they forgot the popeyes and desserts in the hotel fridge 😭 https://t.co/myflb
